skin_id,name,champion,rarity_type,skin_lore,cost,has_chroma,release_date
103065,Prestige K/DA Ahri (2022),Ahri,3,"Decked out to dazzle, K/DA Ahri charms her audience in a glittering, golden ensemble specially made for her band's 2019 Pop Shine Awards performance. Her Prestige Edition outfit celebrates the golden success of POP/STARS. Can you feel the rush now?",,False,2022-04-01
103066,Arcana Ahri,Ahri,5,"A trickster and magician whose power is drawn from the grinning moon, Ahri plies her trade rearranging patterns and allowing the Lower World insight into the Higher. Having already set the fated pair Xayah and Rakan careening towards each other, she awaits the resulting chaos with a cynical bemusement.",1350 RP,True,2022-04-14
103076,Snow Moon Ahri,Ahri,5,"An ancient and powerful arctic fox spirit, Ahri has been around since the founding of the Snow Moon order. It is a symbiotic arrangement: agents purify themselves by sacrificing their emotions and memories to her appetite. Ahri is the keeper of their lost memories, experiencing the outside world through her devotees, their eyes now vacant and cold.",1350 RP,True,2023-05-18
103085,Risen Legend Ahri,Ahri,0,"You've done well, Ahri, to complete my trials with such grace and humility. To become a Risen Legend is no easy feat, and even in the face of failure, you have proven your resilience. Go forth and leave a legacy worthy of the Unkillable Demon King. When you're ready to learn your true potential… heed my call.",,False,2024-06-12
103086,Immortalized Legend Ahri,Ahri,0,"Ahri, you now rightfully bear the seal of The Unkillable Demon King's chosen. You are an Immortalized Legend, an honor that few have ever achieved. Rest assured that your ancestors are proud of your success, as am I. With this and every battle to come, history will never forget you or the power you've fought tirelessly to earn. Welcome to godhood.",,False,2024-06-12
103088,Spirit Blossom Springs Ahri,Ahri,4,"Owner and proprietor of the Spirit Blossom Springs bathhouse, Ahri has turned her favorite mountain into a hidden oasis. Wielding a keen understanding of the power of rest, she indulges her appetite for life's richest flavors—one memory at a time. Only one with a sharp yet kindhearted wit could handle her guests' spirited dispositions.",1820 RP,False,2025-07-30
103089,After Hours Spirit Blossom Springs Ahri,Ahri,3,"Sunlight turns the magical steam of Spirit Blossom Springs into a warm, inviting embrace—but moonlight stirs the steam into an exhilarating flurry of energy. During evening hours, Ahri sets the mood by showing off her wry and fun-loving side, encouraging guests to abandon their egos and let loose. One night away from life's obligations won't hurt anyone.",,True,2025-07-30
84000,default,Akali,7,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one kill at a time. Akali may strike in silence, but her message will be heard loud and clear: fear the assassin with no master.",790 RP,False,2010-05-11
84001,Stinger Akali,Akali,7,"The Order of the Great Sparrow Bee follows a brutal, time-honored training regimen, teaching students to sting with the ferocity and ceaselessness of a hornet. Akali is their greatest champion, and she intends to take the art to even greater heights.",520 RP,False,2010-05-11
84002,Infernal Akali,Akali,7,"A djinn summoned from the world below, the Infernal known as Akali will burn her patron's enemies to cinders… though the cost for such service is always dire.",520 RP,False,2010-05-11
84003,All-star Akali,Akali,7,"A legendary all-star for Chaos FC, Akali was known for her aggressive style on the pitch. These days, she spends most of her time mentoring children and doing commercials for shoes.",975 RP,False,2010-06-24
84004,Nurse Akali,Akali,7,No lore,975 RP,True,2011-01-04
84005,Blood Moon Akali,Akali,7,"Priestesses of the Blood Moon walk their own path, traveling far from the cult to pursue the whispers of their demons. A meditative figure living deep in the snow-dusted wood, Akali was the first woman to embrace her inner darkness, and speak directly with the Blood Moon itself.",975 RP,False,2011-06-07
84006,Silverfang Akali,Akali,7,"Former second-in-command of an honorable clan of assassins, Akali has broken from their ranks to find her own path. She plies her trade in the darkest corners of the world's largest metropolis, awaiting the day when she can establish a clan of her own.",975 RP,False,2011-11-29
84007,Headhunter Akali,Akali,5,"Her weapons flaring with alien energy, Akali hunts only the worthy in a dangerous game of life and death. Striking from anywhere at any moment, no living thing can escape her trophy wall.",1350 RP,True,2015-03-23
84008,Sashimi Akali,Akali,7,"She's the fish ninja with speed on her side, the silent slicer, the death strike of deliciousness. Drop your guard and she'll assassinate your palate. It's your favorite and mine, Akali!",750 RP,False,2016-09-07
84009,K/DA Akali,Akali,5,"Akali's street aesthetic and hard-hitting lyrics inspired a dedicated fandom. She wields a microphone or kama as a hip-hop ninja, revolutionizing the stale scene with her raw talents.",1350 RP,False,2018-11-03
84013,Prestige K/DA Akali,Akali,3,"K/DA Akali is on fire right now, spitting rap solos at the Pop Music Awards—and her prestigious costume is exactly what you'd expect from the new golden child of pop.",,False,2018-12-06
84014,PROJECT: Akali,Akali,5,"A cutting-edge PROJECT subject who somehow escaped the City's boundaries, Akali brings dire warnings of an untested superweapon to those living in the wasteland beyond. With time running out and no other options, these outcasts join her in an attempt to take the mega-corporation down… suspicious that their newfound ally might in fact be a double agent.",1350 RP,True,2019-08-01
84015,True Damage Akali,Akali,5,"After the worldwide success of K/DA, Akali made it her mission to recruit accomplished and up-and-coming artists to form a new supergroup: True Damage. Never before has a crew been comprised of such diverse talent, ranging from natural lyricists to renowned producers to legendary vocalists—all ready to disrupt the music industry.",1350 RP,True,2019-11-10
84032,K/DA ALL OUT Akali,Akali,5,"Fresh off her success with True Damage, Akali hits the stage full-throttle with her bold edge and fresh new direction. She spits fire with a mic in hand and pushes the band to the bleeding edge, because that's what the baddest do.",1350 RP,True,2020-10-29
84050,Crime City Nightmare Akali,Akali,5,"A loyal enforcer for the Graves family, Akali took the same deal everyone else did when the Mysterious Gentleman came calling. The power changed her, twisted her into something that hears a siren song echoing from beyond the veil of reality. Now she acts in ruthless, horrific violence, seeking an inscrutable 'balance' even she cannot name.",1350 RP,False,2021-08-26
84060,Prestige K/DA Akali (2022),Akali,3,"K/DA Akali is on fire right now, spitting rap solos at the Pop Music Awards—and her prestigious costume is exactly what you'd expect from the new golden child of pop.",,False,2022-04-01
84061,Star Guardian Akali,Akali,4,"On-again off-again co-captain of a new generation of Star Guardians, Akali's skill in battle is shadowed by her growing realization that the Oath she swore has condemned her to die. Though she fights for the light with all her heart, she finds that darkness is just as powerful... perhaps, even more so...",1820 RP,False,2022-07-28
84068,DRX Akali,Akali,5,No lore,1350 RP,False,2023-06-01
84070,Coven Akali,Akali,5,"They came to Akali encircling from the tree canopy at an impossible speed, their taunts leading her deeper still into the Elderwood until at last she was lost. Then a voice whispered the choice right into her ear: die in these woods alone or emerge in their charge. And so she walked out of the woods... straight into the arms of the Coven.",1350 RP,False,2023-10-11
84071,Prestige Coven Akali,Akali,3,"Arriving clad in a bold and sporty body suit, Akali's gala attire has us all spellbound. Subversive and on the cutting edge of fashion, she's fierce and redefines how we think of the wicked witch of the woods.",,True,2023-10-11
84082,Empyrean Akali,Akali,5,"Before her realm's destruction, Akali was rotting away in prison for a failed assassination attempt on a despotic warlord. Now on her own as an Empyrean, she views her newfound freedom as a sign to stop the evil she couldn't before. The realms need a defender, and Akali is determined to fight for them as long as she can.",1350 RP,False,2024-05-01
84092,Spirit Blossom Akali,Akali,5,"A young warrior's master warned her of the world's cruelty and the dispassion it required, then told her to cut out her heart. But when she raised the blade, she could not do it. She would face the world, heart intact. She ran, seeking a new path, and found the Burning Shade—a master who did not demand her heart, but destroyed it all the same.",1350 RP,False,2025-06-25
166000,default,Akshan,7,"Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when they least expect him. With a keen sense of justice and a legendary death-reversing weapon, he rights the wrongs of Runeterra's many scoundrels while living by his own moral code: “Don't be an ass.”",975 RP,False,2021-07-22
166001,Cyber Pop Akshan,Akshan,5,"The Neon Rogue of Sound City has become the hero of the underground, largely due to his bravery, his wit, and his uncanny ability to sneak into highly-secure corporate buildings without being detected. Being charming as hell doesn't hurt, either.",1350 RP,True,2021-07-22
166010,Crystal Rose Akshan,Akshan,5,"As roguish as he is handsome, Akshan abandons his daring adventures each year to make a highly-requested appearance at the festival. He might be seen stealing a dance or two, but he only has eyes for one among the crowd. Their moral… discrepancies are no match for the electrifying chemistry between them.",1350 RP,True,2022-02-10
166020,Three Honors Akshan,Akshan,7,"When the Order of Solace found Akshan, he was a soulless weapon of death caught in a cycle of revenge following his mentor's murder. Even with his despair, the Order's teachings were able to fill the endless hole within Akshan and rejuvenate him. Now he stands with Malzahar as a Three Honors stalwart, ready to fight the Essents with harmony and quips.",,False,2024-01-24
12000,default,Alistar,7,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly becoming a beast. Now, free of the chains of his former masters, he fights in the name of the downtrodden and the disadvantaged, his rage as much a weapon as his horns, hooves and fists.",585 RP,False,2009-02-21
12001,Black Alistar,Alistar,7,No lore,,False,2009-06-13
12002,Golden Alistar,Alistar,7,No lore,390 RP,False,2010-01-13
12003,Matador Alistar,Alistar,7,"Man's greatest battle is the one he must fight within himself, unless he's a matador who is also a giant bull. Then the battle is more literal.",975 RP,False,2010-05-11
12004,Longhorn Alistar,Alistar,7,"A handful of the Old West's more pragmatic individuals have integrated into human society—the hulking minotaur Alistar among them. Working as muscle for hire, he can be found breaking up saloon fights as often as knocking down bank vault doors. If it pays, the longhorn's on board.",520 RP,False,2011-02-16
12005,Unchained Alistar,Alistar,7,No lore,,False,2011-09-22
12006,Infernal Alistar,Alistar,7,"Leading from the front of the Infernal invasion, Alistar is a lumbering juggernaut whose ponderous movements bely unimaginable strength and speed. Dozens of armies have fallen before him, overwhelmed suddenly and completely by his power.",975 RP,False,2012-07-13
12007,Sweeper Alistar,Alistar,7,"They call him a sweeper, but Alistar is more of a mobile fortress with horns. If a rival player has the ball, just point Alistar in their direction for immediate and painful results.",750 RP,False,2014-06-18
12008,Marauder Alistar,Alistar,7,"Though the great armies of the Magelord Empire have vanished into antiquity, their modern descendants uphold the vicious brutality of their ancestors. Alistar, a prime specimen of the beastmen hordes, now fights for the same culture that conquered his own people so very long ago.",750 RP,False,2015-09-30
12009,SKT T1 Alistar,Alistar,7,No lore,975 RP,False,2016-08-17
12010,Moo Cow Alistar,Alistar,7,"A rare cow-themed variant of the popular Alistar figurines, mint-in-box units have been known to go for several thousand dollars at auction. Yesterday, this one was submerged in the tub. Children don't deserve nice things.",975 RP,True,2017-03-29
12019,Hextech Alistar,Alistar,3,"The fusion of arcane sorcery and Piltovan ingenuity, Alistar is an advanced, living golem built by the finest artificers in Runeterra. Tasked with guarding the secrets of hextech, it crushes all who would abuse the methods behind its creation.",,False,2018-03-26
12020,Conqueror Alistar,Alistar,6,No lore,975 RP,True,2019-04-30
12022,Blackfrost Alistar,Alistar,5,"The mightiest of all minotaurs, Alistar once roamed the northern mountains freely… but when the endless winter came and blanketed his home in frost as dark as the heart of the Ice Witch herself, the fearsome behemoth fell prey to an eerie corruption—as his fur and bone twisted into pure, frozen malice.",1350 RP,True,2020-03-05
12029,Lunar Beast Alistar,Alistar,5,"The leader of Ox Clan, Alistar keeps his stubborn squad in line with his reliability and gruff approval. A bit quick to anger with some squad members' bull-headedness, he's determined that nothing and no one will derail this Lunar New Year festival, or Ox Clan's plan to make it a flawless celebration.",1350 RP,True,2021-02-04
12040,Elderwood Alistar,Alistar,5,"“Far beneath the deepest roots, the binding shackles break. Two horns then pierce the woodland night—the mighty auroch wakes. His hide is wrought in earth and moss, his hooves are granite made. And though the wise do fear his might, his gentleness yet reigns.” :Ballad of the Forest:shaker",1350 RP,False,2025-08-27
799000,default,Ambessa,7,"All who know the name Medarda respect and fear the family's leader, Ambessa. As a Noxian general, she embodies a deadly combination of ruthless strength and fearless resolve in battle. Her role as matriarch is no different, requiring great cunning to empower the Medardas while leaving no room for failure or compassion. Embracing the merciless ways of the Wolf, Ambessa will do whatever it takes to protect her family's legacy, even at the cost of her own children's love.",975 RP,False,2024-11-06
799001,Chosen of the Wolf Ambessa,Ambessa,4,"Your chosen has arrived, dear Wolf. Those who came before her paved the way for this moment. The Medardas will mourn the loss of her and her unborn child… and yet I see a thread that ties her still to the living. Ambessa, the Matriarch of War. Does her destiny lie in Volrachnun?",1820 RP,True,2024-11-06
32000,default,Amumu,7,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe a living cadaver, small in stature and wrapped in creeping bandages. Amumu has inspired myths, songs, and folklore told and retold for generations—such that it is impossible to separate truth from fiction.",260 RP,False,2009-06-25
32001,Pharaoh Amumu,Amumu,7,"Boy-king of the southern wastes, Amumu's mummified body still haunts the halls of his ancient tomb. His mournful sobbing can be heard over the brutal desert winds, luring in unwitting adventurers.",520 RP,False,2010-02-02
32002,Vancouver Amumu,Amumu,7,"The Vancouver Board of Public Safety would like to assure citizens that no cursed mummies have been spotted within the city limits. Cursed mummies are not native to the Vancouver area. Please do not touch cursed mummies, spreading their mummy curse.",520 RP,False,2010-02-12
32003,Emumu,Amumu,7,No lore,520 RP,False,2010-08-01
32004,Re-Gifted Amumu,Amumu,7,"Like decorative soaps or a fifth pair of socks, Amumu has been passed back and forth between disgruntled family members for generations. For some reason nobody seems to want the sobbing, accursed mummy boy.",520 RP,False,2010-12-14
32005,Almost-Prom King Amumu,Amumu,7,No lore,520 RP,False,2011-02-07
32006,Little Knight Amumu,Amumu,7,"A diminutive knight whose heart is brave and true, Sir Amumu of Shurima wants only to see peace reign the land in his lifetime. Considering that he's an undying, mummified princeling, he'll probably succeed.",750 RP,False,2011-07-18
32007,Sad Robot Amumu,Amumu,5,No lore,1350 RP,False,2012-05-28
32008,Surprise Party Amumu,Amumu,5,No lore,1350 RP,True,2015-03-31
32017,Infernal Amumu,Amumu,5,"When ancient pyromancers unleashed the malevolent Infernals upon the world, they also unintentionally summoned younger, lonelier creatures. A mere spark compared to the fiery monsters now ravaging the land, Amumu seeks only friendship… unwittingly incinerating all those he touches.",1350 RP,True,2018-10-16
32023,Hextech Amumu,Amumu,3,"A mechanical boy intended as a playmate for wealthy children, Amumu has been long forgotten in the advent of newer and more advanced Hextech innovations. But a child has feelings, and within his artificial mind something has begun to awaken that will change the history of Hextech forever.",,False,2019-09-26
32024,Pumpkin Prince Amumu,Amumu,5,"A lonely lad and prince of the patch, Amumu watches year after year as his people are decimated by possums and rowdy teenagers.",1350 RP,True,2020-10-22
32034,Porcelain Amumu,Amumu,5,"Eternally young due to his bond with the Rat Relic, Amumu's innocence belies centuries of existence. He's been lonely in ages past, but no more: Lux is like his big sister, and Kindred is his… Kindred? Companionship hasn't stopped his occasional tantrums, of course, but at least now there's someone to shine his porcelain eyes after a nice cathartic cry.",1350 RP,True,2022-01-26
32044,Heartache Amumu,Amumu,5,"Dear Amumu, I see you around the halls, and at the battle of the bands. I'm afraid I'm just too shy to ask you to hold hands, I think you're really cool and I'd love to be your friend. I can't wait to finally meet you! Love, Your Secret Friend-mirer 'Til the End",1350 RP,True,2023-02-10
32053,Dumpling Darlings Amumu,Amumu,5,"Lonely soul Amumu traveled the world to find a cafe that he could call home. Despite his best efforts to win over his fellow chefs as an apprentice dumpling maker, all of his concoctions end up just a little too salty. Yet he holds onto hope that his dreams of friendship—and the perfect prawn recipe—are within reach one day.",1350 RP,True,2025-02-05
34000,default,Anivia,7,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland. Anivia guides and protects the tribes of the harsh north, who revere her as a symbol of hope, and a portent of great change. She fights with every ounce of her being, knowing that through her sacrifice, her memory will endure, and she will be reborn into a new tomorrow.",790 RP,False,2009-07-09
34001,Team Spirit Anivia,Anivia,7,"Despite her festive colors, Anivia is an incredibly poor sport. She has been known to wall off the exits to locker rooms and fire icicles at her teammates when faced with a loss, behavior that would would be disciplined... if she hadn't frozen the judges and referees.",520 RP,False,2010-02-12
34002,Bird of Prey Anivia,Anivia,7,No lore,520 RP,False,2010-05-02
34003,Noxus Hunter Anivia,Anivia,7,No lore,520 RP,False,2010-08-24
34004,Hextech Anivia,Anivia,7,"Early hextech lifeforms could barely be considered sentient... until the development of Anivia, an artificial avian capable of limited speech. Her birth was the foundation of the modern Hextech movement, and the multitude of creatures that came after her.",750 RP,False,2011-03-01
34005,Blackfrost Anivia,Anivia,4,No lore,1820 RP,False,2013-04-29
34006,Prehistoric Anivia,Anivia,7,"A gargantuan beast capable of creating vast ice fields, Anivia is a nightmarish opponent for even the most seasoned hunters. She is drawn to the sound of hunts, dive bombing the area before retreating with a hunter or two to snack on.",750 RP,False,2015-06-14
34007,Festival Queen Anivia,Anivia,7,"For one week a year, Anivia takes a break from being a prophetic ice spirit of the Freljord, and takes off for warmer climes… somewhere people will appreciate her samba.",975 RP,False,2017-02-23
34008,Papercraft Anivia,Anivia,5,"At the tallest paper mountain in the whole paper world, Nunu and Willump found a great paper phoenix. “You cannot go to the top of the mountain,” said the phoenix, “or your mother will be very angry.” So Nunu and Willump thought and thought, but they couldn't find any way to get past…",1350 RP,True,2019-02-21
34017,Cosmic Flight Anivia,Anivia,5,"A regal and truly ancient being, whose swirling energies give birth to entire galaxies. She has begun to wall off her creations, fearing the return of an ancient, golden foe that her kind has long sought to forget…",1350 RP,True,2020-11-24
34027,Divine Phoenix Anivia,Anivia,5,"The legendary fenghuang watches over the world, awaiting the rise of selfless champions. Anivia grants power to those who fight for others with bravery and kindness in their hearts.",1350 RP,True,2021-09-02
34037,Bewitching Batnivia,Anivia,5,"Enchanted by LeBlanc herself, Batnivia flies along with a coven of witches, shrouding the night sky in darkness and chaos. Though she was once an ordinary bat, Leblanc sensed the spirit of the season in her; now she helps to spread terror to the children below and glee to the partygoers who follow her flight.",1350 RP,True,2022-10-20
34046,Victorious Anivia,Anivia,7,"Victorious Anivia was awarded to players who earned the requisite ranked split points in Season 2023 Split 1. Rising from the ashes covered in crystalline armor, Anivia's opulent feathers reflect her heightened nature. She is perseverance personified, an undying wish granted to those that need her most.",,True,2023-07-17
1000,default,Annie,7,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable, emotional outbursts, though she eventually learned to control these 'playful tricks.' Her favorite includes the summoning of her beloved teddy bear, Tibbers, as a fiery protector. Lost in the perpetual innocence of childhood, Annie wanders the dark forests, always looking for someone to play with.",260 RP,False,2009-02-21
1001,Goth Annie,Annie,7,No lore,,False,2009-10-27
1002,Red Riding Annie,Annie,7,"Over the river and through the woods, to grandmother's house Annie went—not once suspecting that Warwick the Wolf was waiting for her. Of course, Warwick didn't know Annie could shoot balls of magic flame or summon a fiery bear, so really this was a larger issue with communication.",520 RP,False,2010-04-27
1003,Annie in Wonderland,Annie,4,"Down the rabbit hole Annie went, following the White Tibbers she had spied at the riverbank, until she emerged in a world much more curious than the one she had left. “Perhaps I shall stay,” she said to herself—and so she did.",1820 RP,False,2010-08-16
1004,Prom Queen Annie,Annie,7,No lore,520 RP,False,2011-02-07
1005,Frostfire Annie,Annie,7,"Annie is a Winterlands prodigy—a child born with both innate magic and a spirit guardian, the first of her kind in many generations. Though still young, she has already become a joyous fixture in the halls of the Poro King.",975 RP,False,2011-05-24
1006,Reverse Annie,Annie,7,No lore,975 RP,False,2011-09-06
1007,FrankenTibbers Annie,Annie,7,"He's a towering abomination of science and magic. She's an eight year old with a beehive hairdo, and undiagnosed pyromania. Name a more iconic duo. I'll wait.",975 RP,False,2011-10-19
1008,Panda Annie,Annie,7,"Annie is a big part of Lunar Revel festivities, using her pyromancy to set off scores of high powered fireworks. Her panda bear Tibbers hauls the rockets for her, mauling anyone who tries to make off with even the smallest sparkler.",975 RP,False,2013-02-08
1009,Sweetheart Annie,Annie,7,"Sugar, spice, and everything nice: that's what Sweetheart Annie is made of! Tibbers is made of fire-resistant cotton blend and the insatiable hunger of a shadow bear, but he's still good for a hug or two. Probably just one, actually.",750 RP,False,2015-02-13
1010,Hextech Annie,Annie,3,"A scientific prodigy even among the intellectuals of the Hextech renaissance, Annie's beautiful, living warbears are among the most prized innovations of the era. Her most mysterious creation, Tibbers, is always close at hand—her confidant, friend, and monstrous bodyguard.",,False,2016-03-15
1011,Super Galaxy Annie,Annie,5,"The youngest human ever to be named a Super Galaxy cadet, Annie proved her mettle the day she turned her teddy bear into a self-piloting mech. Despite serious concerns over her highly combustible designs and volatile programming, Annie's Mecha-Tibbers went into full production. Desperate times call for destructive measures.",1350 RP,False,2017-10-16
